pair,entry_date,exit_date,entry_spread_raw,exit_spread_raw,entry_spread_eff,exit_spread_eff,direction,days_held,gross_pnl,cost,net_pnl,entry_z,exit_z,reason_exit,spread_scale
SWDA_L_EUNL_DE,2024-04-22,2024-04-23,,,8528.619234827293,8496.778280301665,SHORT_SPREAD,1,7960238.63140681,0.0,7960238.63140681,3.867080452183036,2.123833081508982,MEAN_REVERT,1.0
SWDA_L_EUNL_DE,2025-04-09,2025-04-15,,,8570.485932055988,8442.548584550454,SHORT_SPREAD,4,31984336.87638362,0.0,31984336.87638362,3.844870733475121,1.5905553691967302,MEAN_REVERT,1.0
