trades,start,end,net_pnl_total,CAGR,vol_annualized,Sharpe,MaxDD,hit_rate,z_enter,z_exit,z_stop,max_hold,latency_days,fee_bps,slippage_bps,notional,z_window,spread_scale
67,2023-12-01,2025-10-03,-54986.14088260903,0.0,12.858290205342657,0.6646301069072211,-6.1240275985287544,0.208955223880597,2.0,0.5,3.0,3,1,1.0,1.0,250000.0,60,auto
67,2023-12-04,2025-10-06,16565.353441279683,0.0344034211159487,3.049242972437791,0.529737567579235,-1.453936879327808,0.2686567164179104,2.0,0.5,3.0,3,2,1.0,1.0,250000.0,60,auto
60,2023-12-04,2025-10-03,-44506.004516354114,0.0,2.3470307258510865,-0.1036212828009345,-6.719705991632965,0.2,2.0,0.5,3.0,5,1,1.0,1.0,250000.0,60,auto
60,2023-12-05,2025-10-06,-5935.0438776945375,0.0,2.095327984668604,0.6750454472548105,-5.270603323950063,0.3,2.0,0.5,3.0,5,2,1.0,1.0,250000.0,60,auto
50,2023-12-04,2025-10-08,-63221.79969289834,0.0,2.4152631028265454,0.0917414815244816,-5.816250842909128,0.14,2.0,0.5,3.0,10,1,1.0,1.0,250000.0,60,auto
50,2023-12-05,2025-10-09,-112687.27217803911,0.0,1.9097629949821144,0.6066853193632197,-17.41199025553614,0.16,2.0,0.5,3.0,10,2,1.0,1.0,250000.0,60,auto
50,2023-12-04,2025-10-09,-113962.05082060724,0.0,1.529192277040942,0.6556893223474696,-15.73909954097503,0.2,2.0,0.5,3.0,15,1,1.0,1.0,250000.0,60,auto
50,2023-12-05,2025-10-10,-156076.55619363388,0.0,2.0401834985430125,0.7550084009800319,-25.095948219295728,0.18,2.0,0.5,3.0,15,2,1.0,1.0,250000.0,60,auto
63,2023-12-01,2025-10-03,-94226.14636215246,0.0,3.2072022288162043,0.8014424046775792,-15.15262791490723,0.1746031746031746,2.0,0.5,3.5,3,1,1.0,1.0,250000.0,60,auto
63,2023-12-04,2025-10-06,-9091.916431247726,0.0,2.7790735033338905,0.6221655022142653,-11.090254295528066,0.2222222222222222,2.0,0.5,3.5,3,2,1.0,1.0,250000.0,60,auto
55,2023-12-05,2025-10-03,-60397.95983988392,0.0,3.87584835172932,0.7581904095138224,-9.22463503887861,0.1818181818181818,2.0,0.5,3.5,5,1,1.0,1.0,250000.0,60,auto
55,2023-12-06,2025-10-06,6085.601046898377,0.0,3.5941003662670776,-0.4326293628714174,-6.444902915472799,0.3454545454545454,2.0,0.5,3.5,5,2,1.0,1.0,250000.0,60,auto
43,2023-12-12,2025-10-08,-113415.23656708816,0.0,23.323750865867098,0.654420518418649,-14.983838336852578,0.1627906976744186,2.0,0.5,3.5,10,1,1.0,1.0,250000.0,60,auto
43,2023-12-13,2025-10-09,-74807.14852079494,0.0,4.350284026485301,0.7342499772078394,-9.69324086070212,0.1860465116279069,2.0,0.5,3.5,10,2,1.0,1.0,250000.0,60,auto
41,2023-12-19,2025-10-09,-148852.92931665794,0.0,15.888585684957578,-0.553011450002298,-23.248820929590146,0.1951219512195122,2.0,0.5,3.5,15,1,1.0,1.0,250000.0,60,auto
41,2023-12-20,2025-10-10,-117155.07062709502,0.0,4.748861339600009,0.780983703744723,-19.43912789934881,0.2195121951219512,2.0,0.5,3.5,15,2,1.0,1.0,250000.0,60,auto
60,2023-12-01,2025-10-03,-82176.94732896215,0.0,2.7290854392526365,0.7415581741254349,-11.022025285036628,0.1833333333333333,2.0,0.5,4.0,3,1,1.0,1.0,250000.0,60,auto
60,2023-12-04,2025-10-06,-2787.83231657473,0.0,2.481866766749175,0.6045314342099621,-9.127871250982992,0.2166666666666666,2.0,0.5,4.0,3,2,1.0,1.0,250000.0,60,auto
53,2023-12-05,2025-10-03,-65953.32124005616,0.0,3.4279800496069237,-0.2419041302041109,-10.228900080409408,0.1886792452830188,2.0,0.5,4.0,5,1,1.0,1.0,250000.0,60,auto
53,2023-12-06,2025-10-06,-15207.339523713066,0.0,2.5433412851703783,0.7305830944567029,-11.172987766661896,0.2830188679245283,2.0,0.5,4.0,5,2,1.0,1.0,250000.0,60,auto
39,2023-12-12,2025-10-08,-110647.9982728186,0.0,3.4658677213536624,0.6575168968950619,-13.367369911256429,0.1794871794871795,2.0,0.5,4.0,10,1,1.0,1.0,250000.0,60,auto
39,2023-12-13,2025-10-09,-80025.31167517869,0.0,3.4665081009613496,0.536299219740252,-10.248521467573008,0.1025641025641025,2.0,0.5,4.0,10,2,1.0,1.0,250000.0,60,auto
37,2023-12-19,2025-10-09,-147526.1979528464,0.0,2.10376894906953,0.2065176137798553,-21.87037503950728,0.1891891891891892,2.0,0.5,4.0,15,1,1.0,1.0,250000.0,60,auto
37,2023-12-20,2025-10-10,-122143.12949750925,0.0,2.1589930327838,0.7509884559758134,-19.4860468453456,0.1351351351351351,2.0,0.5,4.0,15,2,1.0,1.0,250000.0,60,auto
60,2023-12-01,2025-10-03,-82167.56130168395,0.0,17.087017658503775,0.6586366482494284,-10.972102443990082,0.1833333333333333,2.0,0.5,4.5,3,1,1.0,1.0,250000.0,60,auto
