pair,z_enter,z_exit,z_stop,max_hold,latency,z_window,side,notional,spread_scale,sign,oos_total_pnl
VWRL_L_VEVE_AS,2.4,0.6,3.6,9,1,40,short,250000.0,auto,1,-375.95262437603276
SWDA_L_EUNL_DE,2.0,0.6,99.0,3,0,40,short,250000.0,auto,-1,-1922.9515943650345
