Date,IUSA.DE
2023-10-24,39.019775390625
2023-10-25,38.78108215332031
2023-10-26,38.46608352661133
2023-10-27,38.11979675292969
2023-10-30,38.10806655883789
2023-10-31,38.452396392822266
2023-11-01,38.9591178894043
2023-11-02,39.485408782958984
2023-11-03,39.64388656616211
2023-11-06,39.58030319213867
2023-11-07,39.9608268737793
2023-11-08,39.825836181640625
2023-11-09,39.90214157104492
2023-11-10,39.96181106567383
2023-11-13,40.21516799926758
2023-11-14,40.429405212402344
2023-11-15,40.53995132446289
2023-11-16,40.348209381103516
2023-11-17,40.39419174194336
2023-11-20,40.41864776611328
2023-11-21,40.434295654296875
2023-11-22,40.881343841552734
2023-11-23,40.808956146240234
2023-11-24,40.66907501220703
2023-11-27,40.62700271606445
2023-11-28,40.5272331237793
2023-11-29,40.557552337646484
2023-11-30,40.68570327758789
2023-12-01,41.0994987487793
2023-12-04,41.0994987487793
2023-12-05,41.0994987487793
2023-12-06,41.0994987487793
2023-12-07,41.42622756958008
2023-12-08,41.667850494384766
2023-12-11,41.82044982910156
2023-12-12,41.87132263183594
2023-12-13,42.09044647216797
2023-12-14,41.890682220458984
2023-12-15,42.271427154541016
2023-12-18,42.3607292175293
2023-12-19,42.34894943237305
2023-12-20,42.50694274902344
2023-12-21,42.06045150756836
2023-12-22,42.19292068481445
2023-12-27,41.96330261230469
2023-12-28,42.18605422973633
2023-12-29,42.28124237060547
2024-01-02,42.29595947265625
2024-01-03,42.20273208618164
2024-01-04,42.10166549682617
2024-01-05,41.9554557800293
2024-01-08,42.033958435058594
2024-01-09,42.4882926940918
2024-01-10,42.49123764038086
2024-01-11,42.363677978515625
2024-01-12,42.59034729003906
2024-01-15,42.65903854370117
2024-01-16,42.898475646972656
2024-01-17,42.705162048339844
2024-01-18,42.847450256347656
2024-01-19,43.10552978515625
2024-01-22,43.59127426147461
2024-01-23,43.71197509765625
2024-01-24,43.87192916870117
2024-01-25,44.13785934448242
2024-01-26,44.08290481567383
2024-01-29,44.26739501953125
2024-01-30,44.427345275878906
2024-01-31,44.009307861328125
2024-02-01,43.83758544921875
2024-02-02,44.819862365722656
2024-02-05,44.93565368652344
2024-02-06,44.9857063293457
2024-02-07,45.25653839111328
2024-02-08,45.32915496826172
2024-02-09,45.41060256958008
2024-02-12,45.790367126464844
2024-02-13,45.319339752197266
2024-02-14,45.3428955078125
2024-02-15,45.53032302856445
2024-02-16,45.66279983520508
2024-02-19,45.50873947143555
2024-02-20,44.97392272949219
2024-02-21,44.951351165771484
2024-02-22,45.84728240966797
2024-02-23,46.02783966064453
2024-02-26,45.83845138549805
2024-02-27,45.70500183105469
2024-02-28,45.80998992919922
2024-02-29,45.961116790771484
2024-03-01,46.223121643066406
2024-03-04,46.24863815307617
2024-03-05,45.849246978759766
2024-03-06,45.96012878417969
2024-03-07,46.083778381347656
2024-03-08,46.118125915527344
2024-03-11,45.83158493041992
2024-03-12,46.24274444580078
2024-03-13,46.232933044433594
2024-03-14,46.33766174316406
2024-03-15,45.98630142211914
2024-03-18,46.50300216674805
2024-03-19,46.565006256103516
2024-03-20,46.70771026611328
2024-03-21,47.41633224487305
2024-03-22,47.407474517822266
2024-03-25,47.23720932006836
2024-03-26,47.30807113647461
2024-03-27,47.28641891479492
2024-03-28,47.62990188598633
2024-04-02,47.28740310668945
2024-04-03,47.28346633911133
2024-04-04,47.323814392089844
2024-04-05,47.0305290222168
2024-04-08,47.03544998168945
2024-04-09,46.72838592529297
2024-04-10,47.048248291015625
2024-04-11,47.197837829589844
2024-04-12,47.4399528503418
2024-04-15,47.35531234741211
2024-04-16,46.64374542236328
2024-04-17,46.31797409057617
2024-04-18,46.39080810546875
2024-04-19,45.886898040771484
2024-04-22,45.87508773803711
2024-04-23,46.393760681152344
2024-04-24,46.43214416503906
2024-04-25,45.81406784057617
2024-04-26,46.77169418334961
2024-04-29,46.718544006347656
2024-04-30,46.61716842651367
2024-05-02,46.10736083984375
2024-05-03,46.551231384277344
2024-05-06,46.92127990722656
2024-05-07,47.257877349853516
2024-05-08,47.289371490478516
2024-05-09,47.370079040527344
2024-05-10,47.49900817871094
2024-05-13,47.43601989746094
2024-05-14,47.38090133666992
2024-05-15,47.750953674316406
2024-05-16,48.024559020996094
2024-05-17,47.80508804321289
2024-05-20,48.10920715332031
2024-05-21,48.03145217895508
2024-05-22,48.154476165771484
2024-05-23,48.19975280761719
2024-05-24,47.95468521118164
2024-05-27,48.01176452636719
2024-05-28,47.89759826660156
2024-05-29,47.8798828125
2024-05-30,47.548213958740234
2024-05-31,47.142730712890625
2024-06-03,47.53147888183594
2024-06-04,47.47834014892578
2024-06-05,48.14167785644531
2024-06-06,48.280452728271484
2024-06-07,48.6652717590332
2024-06-10,48.891632080078125
2024-06-11,48.9831657409668
2024-06-12,49.21543502807617
2024-06-13,49.44732666015625
2024-06-14,49.76509475708008
2024-06-17,49.85193634033203
2024-06-18,50.10062789916992
2024-06-19,50.21707534790039
2024-06-20,50.3651008605957
2024-06-21,50.258522033691406
2024-06-24,50.19536209106445
2024-06-25,50.116416931152344
2024-06-26,50.22891616821289
2024-06-27,50.19734191894531
2024-06-28,50.42628860473633
2024-07-01,50.067073822021484
2024-07-02,50.17759704589844
2024-07-03,50.22299575805664
2024-07-04,50.286155700683594
2024-07-05,50.36905288696289
2024-07-08,50.53879165649414
2024-07-09,50.74800109863281
2024-07-10,50.801292419433594
2024-07-11,50.576290130615234
2024-07-12,50.77760696411133
2024-07-15,50.939453125
2024-07-16,51.0203742980957
2024-07-17,50.386810302734375
