Date,VEVE.AS
2023-10-09,75.6087875366211
2023-10-10,76.65514373779297
2023-10-11,76.3451156616211
2023-10-12,76.99423217773438
2023-10-13,76.49042510986328
2023-10-16,76.86827850341797
2023-10-17,76.59701538085938
2023-10-18,76.22884368896484
2023-10-19,75.3471908569336
2023-10-20,74.06830596923828
2023-10-23,73.77767944335938
2023-10-24,74.24270629882812
2023-10-25,73.95206451416016
2023-10-26,73.31261444091797
2023-10-27,72.70225524902344
2023-10-30,72.7119369506836
2023-10-31,73.38041687011719
2023-11-01,74.19426727294922
2023-11-02,75.30844116210938
2023-11-03,75.68629455566406
2023-11-06,75.5506591796875
2023-11-07,75.98663330078125
2023-11-08,75.70567321777344
2023-11-09,76.01570892333984
2023-11-10,75.90913391113281
2023-11-13,76.3741683959961
2023-11-14,76.94579315185547
2023-11-15,77.13955688476562
2023-11-16,76.72296905517578
2023-11-17,77.02330017089844
2023-11-20,77.04267883300781
2023-11-21,77.1104965209961
2023-11-22,77.74993896484375
2023-11-23,77.70149993896484
2023-11-24,77.57555389404297
2023-11-27,77.44959259033203
2023-11-28,77.2364501953125
2023-11-29,77.38178253173828
2023-11-30,77.73055267333984
2023-12-01,78.5540771484375
2023-12-04,78.3990707397461
2023-12-05,78.76722717285156
2023-12-06,78.9706802368164
2023-12-07,78.9706802368164
2023-12-08,79.45510864257812
2023-12-11,79.87171173095703
2023-12-12,79.76513671875
2023-12-13,80.05577850341797
2023-12-14,80.0322494506836
2023-12-15,80.62543487548828
2023-12-18,80.62543487548828
2023-12-19,80.71295166015625
2023-12-20,80.96578979492188
2023-12-21,80.37258911132812
2023-12-22,80.6740493774414
2023-12-27,80.34342193603516
2023-12-28,80.7323989868164
2023-12-29,80.52818298339844
2024-01-02,80.90744018554688
2024-01-03,80.5476303100586
2024-01-04,80.50874328613281
2024-01-05,80.323974609375
2024-01-08,80.46012115478516
2024-01-09,81.00467681884766
2024-01-10,81.06303405761719
2024-01-11,80.74212646484375
2024-01-12,81.28669738769531
2024-01-15,81.37421417236328
2024-01-16,81.53952026367188
2024-01-17,80.97550964355469
2024-01-18,81.20890808105469
2024-01-19,81.49090576171875
2024-01-22,82.44390106201172
2024-01-23,82.53142547607422
2024-01-24,82.98847198486328
2024-01-25,83.33854675292969
2024-01-26,83.43579864501953
2024-01-29,83.79559326171875
2024-01-30,83.99981689453125
2024-01-31,83.55249786376953
2024-02-01,83.08572387695312
2024-02-02,84.44712829589844
2024-02-05,84.58329772949219
2024-02-06,84.8263931274414
2024-02-07,85.20565032958984
2024-02-08,85.27371978759766
2024-02-09,85.36125183105469
2024-02-12,86.09056854248047
2024-02-13,85.24454498291016
2024-02-14,85.43902587890625
2024-02-15,85.80856323242188
2024-02-16,86.19754028320312
2024-02-19,86.07112121582031
2024-02-20,85.23483276367188
2024-02-21,85.11812591552734
2024-02-22,86.4990005493164
2024-02-23,86.81990051269531
2024-02-26,86.51844787597656
2024-02-27,86.36285400390625
2024-02-28,86.4309310913086
2024-02-29,86.72266387939453
2024-03-01,87.22834014892578
2024-03-04,87.16027069091797
2024-03-05,86.56707763671875
2024-03-06,86.90743255615234
2024-03-07,87.26722717285156
2024-03-08,87.2769546508789
2024-03-11,86.7615737915039
2024-03-12,87.44226837158203
2024-03-13,87.46172332763672
2024-03-14,87.49300384521484
2024-03-15,87.01495361328125
2024-03-18,87.71739959716797
2024-03-19,87.89299774169922
2024-03-20,88.078369140625
2024-03-21,89.38568878173828
2024-03-22,89.36618041992188
2024-03-25,89.10276794433594
2024-03-26,89.27838897705078
2024-03-27,89.2100830078125
2024-03-28,89.80521392822266
2024-04-02,89.06372833251953
2024-04-03,89.19055938720703
2024-04-04,89.19055938720703
2024-04-05,88.63446044921875
2024-04-08,88.8003158569336
2024-04-09,88.24422454833984
2024-04-10,88.66374206542969
2024-04-11,88.77105712890625
2024-04-12,89.18082427978516
2024-04-15,88.9466552734375
2024-04-16,87.59056091308594
2024-04-17,87.14178466796875
2024-04-18,87.33690643310547
2024-04-19,86.53689575195312
2024-04-22,86.69300079345703
2024-04-23,87.65885925292969
2024-04-24,87.6100845336914
2024-04-25,86.62471008300781
2024-04-26,88.13690948486328
2024-04-29,88.14666748046875
2024-04-30,87.89299774169922
2024-05-02,87.40518951416016
2024-05-03,87.9613037109375
2024-05-06,88.6930160522461
2024-05-07,89.29788208007812
2024-05-08,89.3564224243164
2024-05-09,89.50275421142578
2024-05-10,89.78569793701172
2024-05-13,89.63935089111328
2024-05-14,89.62959289550781
2024-05-15,90.17593383789062
2024-05-16,90.53692626953125
2024-05-17,90.29301452636719
2024-05-20,90.81983184814453
2024-05-21,90.59545135498047
2024-05-22,90.66374969482422
2024-05-23,90.65399169921875
2024-05-24,90.31253051757812
2024-05-27,90.50764465332031
2024-05-28,90.16617584228516
2024-05-29,89.81495666503906
2024-05-30,89.50275421142578
2024-05-31,89.00520324707031
2024-06-03,89.580810546875
2024-06-04,89.4930191040039
2024-06-05,90.47838592529297
2024-06-06,90.79057312011719
2024-06-07,91.26862335205078
2024-06-10,91.62960052490234
2024-06-11,91.4442367553711
2024-06-12,92.0003433227539
2024-06-13,91.9752197265625
2024-06-14,92.19115447998047
2024-06-17,92.240234375
2024-06-18,92.72116088867188
2024-06-19,92.8683853149414
2024-06-20,93.22171783447266
2024-06-21,92.88800048828125
2024-06-24,93.04505157470703
2024-06-25,92.98616027832031
2024-06-26,92.9959716796875
2024-06-27,92.9959716796875
2024-06-28,93.32967376708984
2024-07-01,92.8683853149414
2024-07-02,93.00579071044922
