date,pair,spread_pct
2024-01-25 00:00:00+00:00,CSP1_L_IUSA_DE,91531.086
2024-01-26 00:00:00+00:00,CSP1_L_IUSA_DE,91647.584
2024-01-29 00:00:00+00:00,CSP1_L_IUSA_DE,91389.466
2024-01-30 00:00:00+00:00,CSP1_L_IUSA_DE,91733.097
2024-01-31 00:00:00+00:00,CSP1_L_IUSA_DE,91480.627
2024-02-01 00:00:00+00:00,CSP1_L_IUSA_DE,91556.516
2024-02-02 00:00:00+00:00,CSP1_L_IUSA_DE,91540.174
2024-02-05 00:00:00+00:00,CSP1_L_IUSA_DE,91864.828
2024-02-06 00:00:00+00:00,CSP1_L_IUSA_DE,91606.915
2024-02-07 00:00:00+00:00,CSP1_L_IUSA_DE,91497.807
2024-02-08 00:00:00+00:00,CSP1_L_IUSA_DE,91485.647
2024-02-09 00:00:00+00:00,CSP1_L_IUSA_DE,91598.842
2024-02-12 00:00:00+00:00,CSP1_L_IUSA_DE,91454.191
2024-02-13 00:00:00+00:00,CSP1_L_IUSA_DE,91209.796
2024-02-14 00:00:00+00:00,CSP1_L_IUSA_DE,91671.827
2024-02-15 00:00:00+00:00,CSP1_L_IUSA_DE,91720.134
2024-02-16 00:00:00+00:00,CSP1_L_IUSA_DE,91782.24
2024-02-19 00:00:00+00:00,CSP1_L_IUSA_DE,91749.399
2024-02-20 00:00:00+00:00,CSP1_L_IUSA_DE,91773.232
2024-02-21 00:00:00+00:00,CSP1_L_IUSA_DE,91877.205
2024-02-22 00:00:00+00:00,CSP1_L_IUSA_DE,91722.236
2024-02-23 00:00:00+00:00,CSP1_L_IUSA_DE,91597.772
2024-02-26 00:00:00+00:00,CSP1_L_IUSA_DE,91792.277
2024-02-27 00:00:00+00:00,CSP1_L_IUSA_DE,91673.348
2024-02-28 00:00:00+00:00,CSP1_L_IUSA_DE,91870.106
2024-02-29 00:00:00+00:00,CSP1_L_IUSA_DE,91832.057
2024-03-01 00:00:00+00:00,CSP1_L_IUSA_DE,91955.653
2024-03-04 00:00:00+00:00,CSP1_L_IUSA_DE,91751.353
2024-03-05 00:00:00+00:00,CSP1_L_IUSA_DE,91581.986
2024-03-06 00:00:00+00:00,CSP1_L_IUSA_DE,91677.376
2024-03-07 00:00:00+00:00,CSP1_L_IUSA_DE,91724.06
2024-03-08 00:00:00+00:00,CSP1_L_IUSA_DE,91297.895
2024-03-11 00:00:00+00:00,CSP1_L_IUSA_DE,91419.847
2024-03-12 00:00:00+00:00,CSP1_L_IUSA_DE,91648.44
2024-03-13 00:00:00+00:00,CSP1_L_IUSA_DE,91733.903
2024-03-14 00:00:00+00:00,CSP1_L_IUSA_DE,91574.889
2024-03-15 00:00:00+00:00,CSP1_L_IUSA_DE,91659.942
2024-03-18 00:00:00+00:00,CSP1_L_IUSA_DE,91623.11
2024-03-19 00:00:00+00:00,CSP1_L_IUSA_DE,91498.836
2024-03-20 00:00:00+00:00,CSP1_L_IUSA_DE,91565.793
