Date,EUNL.DE
2023-10-24,75.47599792480469
2023-10-25,75.14600372314453
2023-10-26,74.5739974975586
2023-10-27,73.9219970703125
2023-10-30,73.99400329589844
2023-10-31,74.61399841308594
2023-11-01,75.47799682617188
2023-11-02,76.60600280761719
2023-11-03,77.0
2023-11-06,76.75599670410156
2023-11-07,77.25599670410156
2023-11-08,76.9540023803711
2023-11-09,77.29000091552734
2023-11-10,77.13200378417969
2023-11-13,77.64199829101562
2023-11-14,78.1760025024414
2023-11-15,78.41999816894531
2023-11-16,77.9739990234375
2023-11-17,78.30999755859375
2023-11-20,78.30999755859375
2023-11-21,78.36399841308594
2023-11-22,79.02799987792969
2023-11-23,78.98600006103516
2023-11-24,78.83999633789062
2023-11-27,78.7239990234375
2023-11-28,78.52400207519531
2023-11-29,78.6520004272461
2023-11-30,78.9739990234375
2023-12-01,79.81800079345703
2023-12-04,79.81800079345703
2023-12-05,79.81800079345703
2023-12-06,79.81800079345703
2023-12-07,80.37999725341797
2023-12-08,80.85800170898438
2023-12-11,81.13999938964844
2023-12-12,81.13400268554688
2023-12-13,81.4540023803711
2023-12-14,81.39600372314453
2023-12-15,81.96199798583984
2023-12-18,81.99800109863281
2023-12-19,82.0979995727539
2023-12-20,82.37999725341797
2023-12-21,81.74800109863281
2023-12-22,82.05000305175781
2023-12-27,81.75599670410156
2023-12-28,82.0780029296875
2023-12-29,82.26000213623047
2024-01-02,82.21600341796875
2024-01-03,81.84200286865234
2024-01-04,81.7979965209961
2024-01-05,81.62799835205078
2024-01-08,81.78800201416016
2024-01-09,82.38999938964844
2024-01-10,82.43599700927734
2024-01-11,82.09600067138672
2024-01-12,82.68399810791016
2024-01-15,82.74400329589844
2024-01-16,82.96199798583984
2024-01-17,82.38600158691406
2024-01-18,82.72000122070312
2024-01-19,83.00399780273438
2024-01-22,83.95999908447266
2024-01-23,84.06800079345703
2024-01-24,84.5199966430664
2024-01-25,84.88600158691406
2024-01-26,84.9540023803711
2024-01-29,85.30999755859375
2024-01-30,85.53600311279297
2024-01-31,85.04399871826172
2024-02-01,84.69000244140625
2024-02-02,86.06199645996094
2024-02-05,86.16200256347656
2024-02-06,86.3740005493164
2024-02-07,86.75
2024-02-08,86.78600311279297
2024-02-09,86.92400360107422
2024-02-12,87.66000366210938
2024-02-13,86.80400085449219
2024-02-14,86.9260025024414
2024-02-15,87.36000061035156
2024-02-16,87.71199798583984
2024-02-19,87.54199981689453
2024-02-20,86.66200256347656
2024-02-21,86.56400299072266
2024-02-22,88.04399871826172
2024-02-23,88.38999938964844
2024-02-26,88.04000091552734
2024-02-27,87.9260025024414
2024-02-28,87.96600341796875
2024-02-29,88.197998046875
2024-03-01,88.7959976196289
2024-03-04,88.75599670410156
2024-03-05,88.1780014038086
2024-03-06,88.52999877929688
2024-03-07,88.89600372314453
2024-03-08,88.90799713134766
2024-03-11,88.33000183105469
2024-03-12,89.05599975585938
2024-03-13,89.09600067138672
2024-03-14,89.17400360107422
2024-03-15,88.61000061035156
2024-03-18,89.40799713134766
2024-03-19,89.54000091552734
2024-03-20,89.7300033569336
2024-03-21,91.01799774169922
2024-03-22,90.98600006103516
2024-03-25,90.70999908447266
2024-03-26,90.91600036621094
2024-03-27,90.85199737548828
2024-03-28,91.4520034790039
2024-04-02,90.69400024414062
2024-04-03,90.7760009765625
2024-04-04,90.8479995727539
2024-04-05,90.23400115966797
2024-04-08,90.38600158691406
2024-04-09,89.87200164794922
2024-04-10,90.28600311279297
2024-04-11,90.43599700927734
2024-04-12,90.86000061035156
2024-04-15,90.6719970703125
2024-04-16,89.21800231933594
2024-04-17,88.73799896240234
2024-04-18,88.96600341796875
2024-04-19,88.14600372314453
2024-04-22,88.2760009765625
2024-04-23,89.26599884033203
2024-04-24,89.27400207519531
2024-04-25,88.197998046875
2024-04-26,89.80400085449219
2024-04-29,89.82599639892578
2024-04-30,89.57599639892578
2024-05-02,88.88999938964844
2024-05-03,89.6500015258789
2024-05-06,90.31199645996094
2024-05-07,90.94599914550781
2024-05-08,90.93399810791016
2024-05-09,91.13999938964844
2024-05-10,91.43599700927734
2024-05-13,91.31400299072266
2024-05-14,91.26000213623047
2024-05-15,91.9260025024414
2024-05-16,92.28800201416016
2024-05-17,91.9739990234375
2024-05-20,92.51200103759766
2024-05-21,92.302001953125
2024-05-22,92.3479995727539
2024-05-23,92.38600158691406
2024-05-24,92.03600311279297
2024-05-27,92.23999786376953
2024-05-28,91.89399719238281
2024-05-29,91.55400085449219
2024-05-30,91.24600219726562
2024-05-31,90.72599792480469
2024-06-03,91.41799926757812
2024-06-04,91.14600372314453
2024-06-05,92.27400207519531
2024-06-06,92.58200073242188
2024-06-07,93.0719985961914
2024-06-10,93.447998046875
2024-06-11,93.27999877929688
2024-06-12,93.81199645996094
2024-06-13,93.78399658203125
2024-06-14,94.06400299072266
2024-06-17,94.07599639892578
2024-06-18,94.62000274658203
2024-06-19,94.72799682617188
2024-06-20,95.11199951171875
2024-06-21,94.78600311279297
2024-06-24,94.94400024414062
2024-06-25,94.85800170898438
2024-06-26,94.87799835205078
2024-06-27,94.802001953125
2024-06-28,95.18599700927734
2024-07-01,94.65399932861328
2024-07-02,94.83000183105469
2024-07-03,95.09600067138672
2024-07-04,95.2979965209961
2024-07-05,95.32599639892578
2024-07-08,95.50800323486328
2024-07-09,95.64600372314453
2024-07-10,96.02200317382812
2024-07-11,95.86399841308594
2024-07-12,96.34400177001953
2024-07-15,96.36000061035156
2024-07-16,96.48799896240234
2024-07-17,95.48600006103516
