Date,price_a,price_b,spread_pct
2023-10-24,6571.0,75.47599792480469,8606.078992882694
2023-10-25,6554.0,75.14600372314453,8621.688014370626
2023-10-26,6482.0,74.5739974975586,8592.03773099626
2023-10-27,6445.0,73.9219970703125,8618.649732730704
2023-10-30,6461.0,73.99400329589844,8631.788675040021
2023-10-31,6501.0,74.61399841308594,8612.842279284476
2023-11-01,6560.0,75.47799682617188,8591.27464406333
2023-11-02,6675.0,76.60600280761719,8613.416384304917
2023-11-03,6673.5,77.0,8566.883116883118
2023-11-06,6658.0,76.75599670410156,8574.240822729387
2023-11-07,6710.0,77.25599670410156,8585.409918015805
2023-11-08,6700.0,76.9540023803711,8606.499717692384
2023-11-09,6745.0,77.29000091552734,8626.872713291621
2023-11-10,6745.0,77.13200378417969,8644.74883198023
2023-11-13,6774.0,77.64199829101562,8624.65952590488
2023-11-14,6802.0,78.1760025024414,8600.879786975007
2023-11-15,6848.0,78.41999816894531,8632.466411497368
2023-11-16,6817.0,77.9739990234375,8642.657918508117
2023-11-17,6854.0,78.30999755859375,8652.394603092209
2023-11-20,6860.0,78.30999755859375,8660.056460054357
2023-11-21,6836.0,78.36399841308594,8623.393571579756
2023-11-22,6895.0,79.02799987792969,8624.755796237203
2023-11-23,6871.0,78.98600006103516,8599.00994440856
2023-11-24,6835.5,78.83999633789062,8570.091726925726
2023-11-27,6828.0,78.7239990234375,8573.339876912485
2023-11-28,6803.0,78.52400207519531,8563.59306735969
2023-11-29,6802.0,78.6520004272461,8548.22250298887
2023-11-30,6811.0,78.9739990234375,8524.357490088183
2023-12-01,6847.0,79.81800079345703,8478.265468860594
2023-12-04,6835.0,79.81800079345703,8463.231266198653
2023-12-05,6862.0,79.81800079345703,8497.058222188023
2023-12-06,6880.0,79.81800079345703,8519.609526180939
2023-12-07,6897.0,80.37999725341797,8480.492953060808
2023-12-08,6934.5,80.85800170898438,8476.145654647666
2023-12-11,6951.0,81.13999938964844,8466.674947358682
2023-12-12,6976.0,81.13400268554688,8498.121341353097
2023-12-13,7015.0,81.4540023803711,8512.222598027283
2023-12-14,7010.0,81.39600372314453,8512.216422618721
2023-12-15,7045.0,81.96199798583984,8495.446881635473
2023-12-18,7079.0,81.99800109863281,8533.137277925707
2023-12-19,7067.5,82.0979995727539,8508.614140149539
2023-12-20,7128.0,82.37999725341797,8552.585867504697
2023-12-21,7093.0,81.74800109863281,8576.664755927135
2023-12-22,7080.0,82.05000305175781,8528.884505383721
2023-12-27,7095.5,81.75599670410156,8578.874071685104
2023-12-28,7135.0,82.0780029296875,8592.950297672605
2023-12-29,7140.0,82.26000213623047,8579.795544103528
2024-01-02,7135.0,82.21600341796875,8578.359082631603
2024-01-03,7064.0,81.84200286865234,8531.264818062877
2024-01-04,7061.0,81.7979965209961,8532.240764219167
2024-01-05,7025.0,81.62799835205078,8506.115722331084
2024-01-08,7035.0,81.78800201416016,8501.506121621622
2024-01-09,7083.0,82.38999938964844,8496.917165276633
2024-01-10,7097.0,82.43599700927734,8509.103131489152
2024-01-11,7073.0,82.09600067138672,8515.523219348715
2024-01-12,7109.0,82.68399810791016,8497.79420767983
2024-01-15,7112.5,82.74400329589844,8495.789080406461
2024-01-16,7130.0,82.96199798583984,8494.296392448221
2024-01-17,7060.0,82.38600158691406,8469.416968915491
2024-01-18,7087.0,82.72000122070312,8467.456353260146
2024-01-19,7133.0,83.00399780273438,8493.561983547037
2024-01-22,7189.0,83.95999908447266,8462.410765115783
2024-01-23,7192.0,84.06800079345703,8454.979221725169
2024-01-24,7228.0,84.5199966430664,8451.822393609795
2024-01-25,7242.0,84.88600158691406,8431.442010005592
2024-01-26,7258.0,84.9540023803711,8443.446802545215
2024-01-29,7271.0,85.30999755859375,8423.033885924138
2024-01-30,7320.0,85.53600311279297,8457.799913034753
2024-01-31,7254.0,85.04399871826172,8429.702400320375
2024-02-01,7231.0,84.69000244140625,8438.197888236986
2024-02-02,7346.0,86.06199645996094,8435.707167120643
2024-02-05,7379.0,86.16200256347656,8464.099928577918
2024-02-06,7374.0,86.3740005493164,8437.291260220969
2024-02-07,7396.0,86.75,8425.648414985591
2024-02-08,7408.0,86.78600311279297,8435.938670170191
2024-02-09,7422.0,86.92400360107422,8438.493042798915
2024-02-12,7482.0,87.66000366210938,8435.24947231329
2024-02-13,7381.0,86.80400085449219,8403.06429121006
2024-02-14,7428.0,86.9260025024414,8445.199118976368
2024-02-15,7471.0,87.36000061035156,8451.968804719465
2024-02-16,7506.0,87.71199798583984,8457.552184835376
2024-02-19,7489.0,87.54199981689453,8454.750880336544
2024-02-20,7414.0,86.66200256347656,8455.075789495553
2024-02-21,7416.5,86.56400299072266,8467.649073246821
2024-02-22,7535.0,88.04399871826172,8458.221014145194
2024-02-23,7548.0,88.38999938964844,8439.427596018248
2024-02-26,7537.0,88.04000091552734,8460.881328512938
2024-02-27,7523.0,87.9260025024414,8456.058260229802
2024-02-28,7531.0,87.96600341796875,8461.26197323823
2024-02-29,7544.0,88.197998046875,8453.4821277809
2024-03-01,7606.0,88.7959976196289,8465.701387332178
2024-03-04,7594.0,88.75599670410156,8456.04159943941
2024-03-05,7532.0,88.1780014038086,8441.813014685402
2024-03-06,7567.0,88.52999877929688,8447.385185065174
2024-03-07,7598.0,88.89600372314453,8447.065876732793
2024-03-08,7567.0,88.90799713134766,8411.045399910361
2024-03-11,7536.0,88.33000183105469,8431.642526639827
2024-03-12,7611.0,89.05599975585938,8446.307964499876
2024-03-13,7619.0,89.09600067138672,8451.450056777747
