Date,SWDA.L
2023-10-24,6571.0
2023-10-25,6554.0
2023-10-26,6482.0
2023-10-27,6445.0
2023-10-30,6461.0
2023-10-31,6501.0
2023-11-01,6560.0
2023-11-02,6675.0
2023-11-03,6673.5
2023-11-06,6658.0
2023-11-07,6710.0
2023-11-08,6700.0
2023-11-09,6745.0
2023-11-10,6745.0
2023-11-13,6774.0
2023-11-14,6802.0
2023-11-15,6848.0
2023-11-16,6817.0
2023-11-17,6854.0
2023-11-20,6860.0
2023-11-21,6836.0
2023-11-22,6895.0
2023-11-23,6871.0
2023-11-24,6835.5
2023-11-27,6828.0
2023-11-28,6803.0
2023-11-29,6802.0
2023-11-30,6811.0
2023-12-01,6847.0
2023-12-04,6835.0
2023-12-05,6862.0
2023-12-06,6880.0
2023-12-07,6897.0
2023-12-08,6934.5
2023-12-11,6951.0
2023-12-12,6976.0
2023-12-13,7015.0
2023-12-14,7010.0
2023-12-15,7045.0
2023-12-18,7079.0
2023-12-19,7067.5
2023-12-20,7128.0
2023-12-21,7093.0
2023-12-22,7080.0
2023-12-27,7095.5
2023-12-28,7135.0
2023-12-29,7140.0
2024-01-02,7135.0
2024-01-03,7064.0
2024-01-04,7061.0
2024-01-05,7025.0
2024-01-08,7035.0
2024-01-09,7083.0
2024-01-10,7097.0
2024-01-11,7073.0
2024-01-12,7109.0
2024-01-15,7112.5
2024-01-16,7130.0
2024-01-17,7060.0
2024-01-18,7087.0
2024-01-19,7133.0
2024-01-22,7189.0
2024-01-23,7192.0
2024-01-24,7228.0
2024-01-25,7242.0
2024-01-26,7258.0
2024-01-29,7271.0
2024-01-30,7320.0
2024-01-31,7254.0
2024-02-01,7231.0
2024-02-02,7346.0
2024-02-05,7379.0
2024-02-06,7374.0
2024-02-07,7396.0
2024-02-08,7408.0
2024-02-09,7422.0
2024-02-12,7482.0
2024-02-13,7381.0
2024-02-14,7428.0
2024-02-15,7471.0
2024-02-16,7506.0
2024-02-19,7489.0
2024-02-20,7414.0
2024-02-21,7416.5
2024-02-22,7535.0
2024-02-23,7548.0
2024-02-26,7537.0
2024-02-27,7523.0
2024-02-28,7531.0
2024-02-29,7544.0
2024-03-01,7606.0
2024-03-04,7594.0
2024-03-05,7532.0
2024-03-06,7567.0
2024-03-07,7598.0
2024-03-08,7567.0
2024-03-11,7536.0
2024-03-12,7611.0
2024-03-13,7619.0
2024-03-14,7613.0
2024-03-15,7575.0
2024-03-18,7637.0
2024-03-19,7642.0
2024-03-20,7660.0
2024-03-21,7804.0
2024-03-22,7806.0
2024-03-25,7775.5
2024-03-26,7795.0
2024-03-27,7785.0
2024-03-28,7814.0
2024-04-02,7767.0
2024-04-03,7781.0
2024-04-04,7793.0
2024-04-05,7740.0
2024-04-08,7752.0
2024-04-09,7699.5
2024-04-10,7726.0
2024-04-11,7734.0
2024-04-12,7766.0
2024-04-15,7740.0
2024-04-16,7628.0
2024-04-17,7587.0
2024-04-18,7611.0
2024-04-19,7576.0
2024-04-22,7617.0
2024-04-23,7674.0
2024-04-24,7677.0
2024-04-25,7566.0
2024-04-26,7695.0
2024-04-29,7671.0
2024-04-30,7643.0
2024-05-01,7581.0
2024-05-02,7610.0
2024-05-03,7694.0
2024-05-07,7810.0
2024-05-08,7824.0
2024-05-09,7849.0
2024-05-10,7869.0
2024-05-13,7851.0
2024-05-14,7842.0
2024-05-15,7888.0
2024-05-16,7919.0
2024-05-17,7873.0
2024-05-20,7908.0
2024-05-21,7880.0
2024-05-22,7865.0
2024-05-23,7867.0
2024-05-24,7841.0
2024-05-28,7821.0
2024-05-29,7788.0
2024-05-30,7765.0
2024-05-31,7732.0
2024-06-03,7777.0
2024-06-04,7758.0
2024-06-05,7851.0
2024-06-06,7879.0
2024-06-07,7904.0
2024-06-10,7888.0
2024-06-11,7870.0
2024-06-12,7928.0
2024-06-13,7909.0
2024-06-14,7934.0
2024-06-17,7950.0
2024-06-18,8005.0
2024-06-19,7998.0
2024-06-20,8044.0
2024-06-21,8017.0
2024-06-24,8026.0
2024-06-25,8014.0
2024-06-26,8024.0
2024-06-27,8025.0
2024-06-28,8072.0
2024-07-01,8031.0
2024-07-02,8027.0
2024-07-03,8046.0
2024-07-04,8073.0
2024-07-05,8060.0
2024-07-08,8066.0
2024-07-09,8086.0
2024-07-10,8096.0
2024-07-11,8067.0
2024-07-12,8090.0
2024-07-15,8097.0
2024-07-16,8106.0
2024-07-17,8026.0
2024-07-18,7985.5
2024-07-19,7953.0
2024-07-22,7986.0
2024-07-23,8044.0
2024-07-24,7901.0
2024-07-25,7885.5
2024-07-26,7913.0
2024-07-29,7919.5
2024-07-30,7915.0
2024-07-31,8042.0
2024-08-01,7978.0
2024-08-02,7730.0
2024-08-05,7613.0
2024-08-06,7692.0
2024-08-07,7789.0
2024-08-08,7770.0
2024-08-09,7787.0
2024-08-12,7805.0
2024-08-13,7862.0
2024-08-14,7922.0
2024-08-15,8021.0
2024-08-16,8013.0
