Date,CSP1.L
2024-09-24,45213.5
2024-09-25,45370.5
2024-09-26,45202.0
2024-09-27,45390.0
2024-09-30,45258.0
2024-10-01,45426.5
2024-10-02,45591.0
2024-10-03,45968.0
2024-10-04,46113.0
2024-10-07,46402.0
2024-10-08,46405.0
2024-10-09,46775.0
2024-10-10,46911.0
2024-10-11,47045.0
2024-10-14,47414.5
2024-10-15,47229.0
2024-10-16,47401.0
2024-10-17,47675.0
2024-10-18,47549.0
2024-10-21,47496.0
2024-10-22,47642.0
2024-10-23,47488.0
2024-10-24,47426.0
2024-10-25,47638.0
2024-10-28,47552.5
2024-10-29,47486.0
2024-10-30,47553.0
2024-10-31,47111.0
2024-11-01,47070.0
2024-11-04,46745.0
2024-11-05,46935.0
2024-11-06,48494.0
2024-11-07,48641.5
2024-11-08,49144.0
2024-11-11,49450.0
2024-11-12,49755.0
2024-11-13,49916.0
2024-11-14,49822.5
2024-11-15,49305.0
2024-11-18,49445.0
2024-11-19,49380.0
2024-11-20,49237.0
2024-11-21,49975.0
2024-11-22,50447.0
2024-11-25,50539.0
2024-11-26,50718.0
2024-11-27,50150.5
2024-11-28,50274.5
2024-11-29,50332.0
2024-12-02,50640.5
2024-12-03,50594.5
2024-12-04,50618.5
2024-12-05,50582.0
2024-12-06,50633.0
2024-12-09,50314.0
2024-12-10,50339.0
2024-12-11,50580.0
2024-12-12,50730.0
2024-12-13,50767.5
2024-12-16,50720.0
2024-12-17,50486.0
2024-12-18,50639.0
2024-12-19,49941.0
2024-12-20,50197.0
2024-12-23,50287.0
2024-12-24,50535.5
2024-12-27,50311.0
2024-12-30,50083.0
2024-12-31,50164.5
2025-01-02,50570.0
2025-01-03,50611.0
2025-01-06,50971.5
2025-01-07,50478.0
2025-01-08,50709.5
2025-01-09,50882.0
2025-01-10,50573.0
2025-01-13,50530.5
2025-01-14,50750.0
2025-01-15,51423.0
2025-01-16,51650.0
2025-01-17,52287.0
2025-01-20,51960.0
2025-01-21,51953.0
2025-01-22,52489.0
2025-01-23,52438.0
2025-01-24,51996.5
2025-01-27,50877.0
2025-01-28,51520.0
2025-01-29,51582.0
2025-01-30,51526.5
2025-01-31,52148.0
2025-02-03,51259.5
2025-02-04,51338.0
2025-02-05,51141.0
2025-02-06,51823.0
2025-02-07,51678.0
2025-02-10,51948.0
2025-02-11,51822.5
2025-02-12,51523.5
