date,CSP1_L_IUSA_DE,SWDA_L_EUNL_DE,VWRL_L_VEVE_AS
2023-10-17 00:00:00+00:00,93050.5075387021,8577.209607921932,13.1113278722929
2023-10-18 00:00:00+00:00,92964.36598246932,8570.602226944593,12.805807195279728
2023-10-19 00:00:00+00:00,93442.03788700144,8612.940597215791,13.49554020709187
2023-10-20 00:00:00+00:00,93425.95658562209,8613.539194226792,13.453274899382306
2023-10-23 00:00:00+00:00,93247.94706694642,8599.416865623,13.269746132054362
2023-10-24 00:00:00+00:00,93393.6277856276,8606.078992882694,13.382572506142898
2023-10-25 00:00:00+00:00,93515.22271434175,8621.688014370626,13.435057139944885
2023-10-26 00:00:00+00:00,93262.73938738092,8592.03773099626,13.327290532123804
2023-10-27 00:00:00+00:00,93497.03628865205,8618.649732730704,13.718855294468767
2023-10-30 00:00:00+00:00,93590.16574709518,8631.788675040021,13.996927128369665
2023-10-31 00:00:00+00:00,93475.44230121531,8612.842279284476,13.486657113172097
2023-11-01 00:00:00+00:00,93228.59266222132,8591.27464406333,13.273744055399847
2023-11-02 00:00:00+00:00,93420.63130587578,8613.416384304917,13.553915932094874
2023-11-03 00:00:00+00:00,93034.16708315666,8566.883116883118,13.02546522542749
2023-11-06 00:00:00+00:00,93052.41201661144,8574.240822729387,12.997456419420562
2023-11-07 00:00:00+00:00,93153.81719541192,8585.409918015805,13.21641704951717
2023-11-08 00:00:00+00:00,93382.02968093038,8606.499717692384,13.45736570977838
2023-11-09 00:00:00+00:00,93574.17017818269,8626.872713291621,13.683082200786266
2023-11-10 00:00:00+00:00,93822.16072357589,8644.74883198023,13.842702591873412
2023-11-13 00:00:00+00:00,93543.75366089345,8624.65952590488,13.492081726856032
2023-11-14 00:00:00+00:00,93289.9467519682,8600.879786975007,13.165366425794645
2023-11-15 00:00:00+00:00,93560.68578433704,8632.466411497368,13.685156462797645
2023-11-16 00:00:00+00:00,93775.29355327258,8642.657918508117,13.68352480332593
2023-11-17 00:00:00+00:00,93871.43094853716,8652.394603092209,13.894501346032207
2023-11-20 00:00:00+00:00,93908.59673984392,8660.056460054357,13.979072181425934
2023-11-21 00:00:00+00:00,93568.00976036096,8623.393571579756,13.426368916127585
2023-11-22 00:00:00+00:00,93522.14952017865,8624.755796237203,13.40344858716258
2023-11-23 00:00:00+00:00,93274.110975663,8599.00994440856,13.11245825760543
2023-11-24 00:00:00+00:00,93007.61823862937,8570.091726925726,12.67147332395684
2023-11-27 00:00:00+00:00,93005.54647845984,8573.339876912485,12.641968313366949
2023-11-28 00:00:00+00:00,92951.00186634528,8563.59306735969,12.726998299210535
2023-11-29 00:00:00+00:00,92749.529341831,8548.22250298887,12.390028024416663
2023-11-30 00:00:00+00:00,92463.23597029378,8524.357490088183,12.072720669787884
2023-12-01 00:00:00+00:00,92005.7632807174,8478.265468860594,11.391314828647635
2023-12-04 00:00:00+00:00,91850.04359111322,8463.231266198653,11.426126879308065
2023-12-05 00:00:00+00:00,92290.43833827502,8497.058222188023,11.17597717203691
2023-12-06 00:00:00+00:00,92382.8969039775,8519.609526180939,11.245468365143129
2023-12-07 00:00:00+00:00,91917.8006702987,8480.492953060808,11.45408901398872
2023-12-08 00:00:00+00:00,91946.9847734734,8476.145654647666,11.360028575982728
2023-12-11 00:00:00+00:00,91823.92754524776,8466.674947358682,10.9854325354243
2023-12-12 00:00:00+00:00,92244.82593248956,8498.121341353097,11.510395768521686
2023-12-13 00:00:00+00:00,92405.56074417807,8512.222598027283,11.63817532541236
2023-12-14 00:00:00+00:00,92383.5822058956,8512.216422618721,11.72006330609021
2023-12-15 00:00:00+00:00,92167.99903728846,8495.446881635473,11.440878969641275
2023-12-18 00:00:00+00:00,92570.75377440124,8533.137277925707,11.814819009973457
2023-12-19 00:00:00+00:00,92350.93567792456,8508.614140149539,11.63331886470138
2023-12-20 00:00:00+00:00,92743.65670101428,8552.585867504697,12.077458063243116
2023-12-21 00:00:00+00:00,93089.68805613404,8576.664755927135,12.529573986510712
2023-12-22 00:00:00+00:00,92628.81760175875,8528.884505383721,11.795620454523338
2023-12-27 00:00:00+00:00,93205.3348106092,8578.874071685104,12.570425741776004
2023-12-28 00:00:00+00:00,93291.04392854864,8592.950297672605,12.81104829755586
2023-12-29 00:00:00+00:00,93067.79212567848,8579.795544103528,13.024654689393357
2024-01-02 00:00:00+00:00,93093.29065094415,8578.359082631603,12.51890317678983
2024-01-03 00:00:00+00:00,92552.76092961944,8531.264818062877,11.88657585005597
2024-01-04 00:00:00+00:00,92578.05222177863,8532.240764219167,11.940650693109834
2024-01-05 00:00:00+00:00,92267.0267109605,8506.115722331084,11.67751670913506
2024-01-08 00:00:00+00:00,92261.03723131516,8501.506121621622,11.524806067549909
2024-01-09 00:00:00+00:00,92170.11488184828,8496.917165276633,11.387352476292325
2024-01-10 00:00:00+00:00,92321.399458327,8509.103131489152,11.403155586199995
2024-01-11 00:00:00+00:00,92363.65140220738,8515.523219348715,11.580945005263631
2024-01-12 00:00:00+00:00,92209.64051768034,8497.79420767983,11.44359109923414
2024-01-15 00:00:00+00:00,92186.40471766808,8495.789080406461,11.311771743166066
2024-01-16 00:00:00+00:00,92071.09906035074,8494.296392448221,11.205356812867006
2024-01-17 00:00:00+00:00,91933.35403322798,8469.416968915491,10.718924295487842
2024-01-18 00:00:00+00:00,91786.45594928369,8467.456353260146,10.867745694303554
2024-01-19 00:00:00+00:00,92150.34513714156,8493.561983547037,11.11657555310388
2024-01-22 00:00:00+00:00,91822.05819242382,8462.410765115783,10.53988270315771
