Date,Price1,Price2,spread_pct,signal
2024-02-14,94.333,85.439,10.410,STRONG_SIGNAL
2024-02-15,94.800,85.809,10.478,STRONG_SIGNAL
2024-02-16,95.286,86.198,10.544,STRONG_SIGNAL
2024-02-19,95.150,86.071,10.548,STRONG_SIGNAL
2024-02-20,94.245,85.235,10.571,STRONG_SIGNAL
2024-02-21,94.323,85.118,10.814,STRONG_SIGNAL
2024-02-22,95.675,86.499,10.608,STRONG_SIGNAL
2024-02-23,95.831,86.820,10.379,STRONG_SIGNAL
2024-02-26,95.670,86.518,10.578,STRONG_SIGNAL
2024-02-27,95.476,86.363,10.552,STRONG_SIGNAL
2024-02-28,95.500,86.431,10.493,STRONG_SIGNAL
2024-02-29,95.685,86.723,10.334,STRONG_SIGNAL
2024-03-01,96.511,87.228,10.642,STRONG_SIGNAL
2024-03-04,96.293,87.160,10.478,STRONG_SIGNAL
2024-03-05,95.490,86.567,10.308,STRONG_SIGNAL
2024-03-06,96.035,86.907,10.502,STRONG_SIGNAL
2024-03-07,96.365,87.267,10.426,STRONG_SIGNAL
2024-03-08,95.996,87.277,9.990,STRONG_SIGNAL
2024-03-11,95.685,86.762,10.285,STRONG_SIGNAL
2024-03-12,96.628,87.442,10.505,STRONG_SIGNAL
2024-03-13,96.657,87.462,10.514,STRONG_SIGNAL
2024-03-14,96.254,87.493,10.013,STRONG_SIGNAL
2024-03-15,96.114,87.015,10.457,STRONG_SIGNAL
2024-03-18,96.836,87.717,10.396,STRONG_SIGNAL
2024-03-19,96.865,87.893,10.208,STRONG_SIGNAL
2024-03-20,97.090,88.078,10.231,STRONG_SIGNAL
2024-03-21,98.836,89.386,10.572,STRONG_SIGNAL
2024-03-22,98.826,89.366,10.586,STRONG_SIGNAL
2024-03-25,98.504,89.103,10.551,STRONG_SIGNAL
2024-03-26,98.763,89.278,10.623,STRONG_SIGNAL
2024-03-27,98.611,89.210,10.538,STRONG_SIGNAL
2024-03-28,99.011,89.805,10.251,STRONG_SIGNAL
2024-04-02,98.543,89.064,10.643,STRONG_SIGNAL
2024-04-03,98.660,89.191,10.617,STRONG_SIGNAL
2024-04-04,98.865,89.191,10.847,STRONG_SIGNAL
2024-04-05,98.221,88.634,10.816,STRONG_SIGNAL
2024-04-08,98.426,88.800,10.840,STRONG_SIGNAL
2024-04-09,97.802,88.244,10.831,STRONG_SIGNAL
2024-04-10,98.143,88.664,10.692,STRONG_SIGNAL
2024-04-11,98.241,88.771,10.668,STRONG_SIGNAL
2024-04-12,98.514,89.181,10.465,STRONG_SIGNAL
2024-04-15,98.192,88.947,10.394,STRONG_SIGNAL
2024-04-16,96.787,87.591,10.500,STRONG_SIGNAL
2024-04-17,96.163,87.142,10.352,STRONG_SIGNAL
2024-04-18,96.573,87.337,10.575,STRONG_SIGNAL
2024-04-19,96.202,86.537,11.169,STRONG_SIGNAL
2024-04-22,96.758,86.693,11.610,STRONG_SIGNAL
2024-04-23,97.470,87.659,11.193,STRONG_SIGNAL
2024-04-24,97.480,87.610,11.266,STRONG_SIGNAL
2024-04-25,96.426,86.625,11.315,STRONG_SIGNAL
2024-04-26,97.812,88.137,10.977,STRONG_SIGNAL
2024-04-29,97.519,88.147,10.633,STRONG_SIGNAL
2024-04-30,97.207,87.893,10.597,STRONG_SIGNAL
2024-05-02,97.041,87.405,11.024,STRONG_SIGNAL
2024-05-03,97.992,87.961,11.404,STRONG_SIGNAL
2024-05-07,99.372,89.298,11.282,STRONG_SIGNAL
2024-05-08,99.480,89.356,11.329,STRONG_SIGNAL
2024-05-09,99.733,89.503,11.430,STRONG_SIGNAL
2024-05-10,100.036,89.786,11.416,STRONG_SIGNAL
2024-05-13,99.870,89.639,11.413,STRONG_SIGNAL
2024-05-14,99.802,89.630,11.349,STRONG_SIGNAL
2024-05-15,100.338,90.176,11.269,STRONG_SIGNAL
2024-05-16,100.709,90.537,11.235,STRONG_SIGNAL
2024-05-17,100.192,90.293,10.963,STRONG_SIGNAL
2024-05-20,100.621,90.820,10.792,STRONG_SIGNAL
2024-05-21,100.192,90.595,10.592,STRONG_SIGNAL
2024-05-22,99.997,90.664,10.294,STRONG_SIGNAL
2024-05-23,99.997,90.654,10.306,STRONG_SIGNAL
2024-05-24,99.626,90.313,10.312,STRONG_SIGNAL
2024-05-28,99.382,90.166,10.221,STRONG_SIGNAL
2024-05-29,98.875,89.815,10.087,STRONG_SIGNAL
2024-05-30,98.582,89.503,10.144,STRONG_SIGNAL
2024-05-31,98.104,89.005,10.223,STRONG_SIGNAL
