pair,enter,exit,side,pxA_in,pxB_in,pxA_out,pxB_out,pnl_eur
SWDA_L_EUNL_DE,2025-09-26 00:00:00+00:00,,short,9338.0,107.06500244140625,,,-1.4999999999999998
SWDA_L_EUNL_DE,2025-09-26 00:00:00+00:00,2025-10-01 00:00:00+00:00,short,9338.0,107.06500244140625,9397.0,108.03500366210938,12.196759507561298
